customer_id,resident_id,email,gender,senior_citizen,partner,tenure,monthly_charges,total_charges,contract,payment_method,churn
10001,850518-2277581,user_0@example.com,Male,0,No,9,57.96,447.25,One year,Electronic check,0
10002,971128-4769573,user_1@example.com,Male,0,Yes,60,65.96,,Month-to-month,Credit card,0
10003,931028-1253251,user_2@example.com,Female,0,Yes,26,104.17,2727.86,Month-to-month,Mailed check,0
10004,810227-4140459,user_3@example.com,Male,1,No,18,52.59,887.93,Two year,Bank transfer,0
10005,730802-1338557,user_4@example.com,Female,1,Yes,3,105.68,372.67,Month-to-month,Bank transfer,0
10006,731225-1418677,user_5@example.com,Female,1,No,3,27.34,78.46,Month-to-month,Mailed check,1
10007,791209-1440710,user_6@example.com,Male,0,Yes,1,96.37,,One year,Bank transfer,0
10008,960207-1878161,user_7@example.com,Female,0,No,40,103.47,4124.88,One year,Credit card,0
10009,921207-4912309,user_8@example.com,Female,0,No,18,36.73,699.78,Month-to-month,Mailed check,0
10010,931008-2398162,user_9@example.com,Female,0,Yes,24,61.64,1518.52,One year,Credit card,0
10011,750202-1522887,user_10@example.com,Female,0,No,0,35.09,,One year,Mailed check,0
10012,961021-1859082,user_11@example.com,Female,0,No,70,89.34,6282.04,Two year,Bank transfer,0
10013,891126-4253911,user_12@example.com,Female,0,No,35,72.17,,Month-to-month,Mailed check,0
10014,721116-3379175,user_13@example.com,Male,1,Yes,4,82.19,355.87,One year,Credit card,0
10015,881218-1558527,user_14@example.com,Male,0,Yes,4,38.2,135.91,Month-to-month,Mailed check,0
10016,980527-3326405,user_15@example.com,Male,0,No,4,39.73,159.03,One year,Bank transfer,0
10017,960703-1499296,user_16@example.com,Female,1,No,7,22.66,144.89,One year,Electronic check,0
10018,830720-3641304,user_17@example.com,Male,1,No,14,50.79,688.2,Month-to-month,Bank transfer,1
10019,780110-1684651,user_18@example.com,Male,1,Yes,11,74.61,,Two year,Bank transfer,0
10020,730710-2995102,user_19@example.com,Female,0,No,6,104.51,650.44,Month-to-month,Electronic check,1
10021,940715-3901254,user_20@example.com,Female,0,Yes,18,85.36,1602.01,Month-to-month,Mailed check,0
10022,950514-2809225,user_21@example.com,Male,0,No,3,62.15,,Month-to-month,Bank transfer,1
10023,720622-3922133,user_22@example.com,Male,0,Yes,6,114.05,621.47,One year,Electronic check,0
10024,780521-4252711,user_23@example.com,Male,1,No,9,90.6,879.86,Month-to-month,Credit card,0
10025,700322-2833664,user_24@example.com,Female,1,No,12,111.75,1325.09,Two year,Electronic check,0
10026,871023-1662873,user_25@example.com,Male,0,No,30,71.39,2171.74,Two year,Bank transfer,0
10027,900122-3916022,user_26@example.com,Male,0,No,4,44.46,132.53,Two year,Credit card,0
10028,771219-2614109,user_27@example.com,Female,1,Yes,14,23.8,340.3,Month-to-month,Bank transfer,0
10029,881117-4808687,user_28@example.com,Female,1,No,17,91.29,1567.62,One year,Electronic check,0
10030,880522-3138211,user_29@example.com,Female,0,No,0,30.66,,Month-to-month,Credit card,0
10031,740525-4638752,user_30@example.com,Male,0,Yes,18,48.85,,Two year,Bank transfer,0
10032,871215-1703323,user_31@example.com,Female,0,Yes,3,71.88,282.94,One year,Electronic check,0
10033,880714-3297445,user_32@example.com,Female,0,No,1,75.08,66.35,Month-to-month,Credit card,1
10034,870805-2354023,user_33@example.com,Female,0,Yes,59,78.71,4711.9,One year,Bank transfer,0
10035,980610-3825644,user_34@example.com,Female,0,No,67,35.17,2346.91,Month-to-month,Electronic check,0
10036,760413-2909999,user_35@example.com,Female,0,Yes,33,56.57,1909.29,Month-to-month,Bank transfer,1
10037,911121-1228192,user_36@example.com,Male,0,No,7,80.37,451.66,Month-to-month,Bank transfer,0
10038,931002-4901340,user_37@example.com,Male,0,Yes,2,115.72,352.38,Two year,Bank transfer,0
10039,970306-3434256,user_38@example.com,Male,0,Yes,23,91.45,2178.12,Two year,Mailed check,0
10040,780505-4196003,user_39@example.com,Male,0,No,11,110.99,1206.66,One year,Bank transfer,0
10041,890109-1192460,user_40@example.com,Male,1,Yes,2,94.91,91.22,Two year,Credit card,0
10042,850410-2679635,user_41@example.com,Female,0,Yes,13,77.82,1026.06,Month-to-month,Electronic check,0
10043,970720-1427372,user_42@example.com,Male,0,No,0,37.75,,Two year,Electronic check,0
10044,940205-4505847,user_43@example.com,Female,0,Yes,48,85.34,4118.56,Month-to-month,Mailed check,1
10045,750702-4680429,user_44@example.com,Male,0,No,5,80.99,425.53,One year,Mailed check,0
10046,731218-2259955,user_45@example.com,Male,0,No,21,78.9,1609.83,One year,Mailed check,0
10047,850908-3355088,user_46@example.com,Male,0,Yes,7,67.6,529.25,Month-to-month,Bank transfer,1
10048,820814-3235432,user_47@example.com,Female,0,Yes,14,71.5,1041.28,Month-to-month,Bank transfer,0
10049,771001-4183595,user_48@example.com,Male,0,No,15,52.03,829.24,Month-to-month,Credit card,1
10050,740914-1338837,user_49@example.com,Female,1,No,4,70.56,282.68,Two year,Electronic check,0
10051,850328-4315782,user_50@example.com,Male,0,Yes,69,38.3,2571.92,Month-to-month,Electronic check,1
10052,720708-1835668,user_51@example.com,Female,0,No,29,99.22,2926.27,Month-to-month,Bank transfer,0
10053,830403-4631818,user_52@example.com,Male,1,Yes,56,37.12,2065.2,One year,Electronic check,0
10054,910602-4446239,user_53@example.com,Female,0,Yes,45,27.02,1146.41,Month-to-month,Bank transfer,0
10055,901126-1811314,user_54@example.com,Female,0,Yes,18,62.23,1187.74,Month-to-month,Mailed check,0
10056,790521-2785492,user_55@example.com,Male,0,Yes,50,84.5,4329.97,One year,Bank transfer,0
10057,720321-1867197,user_56@example.com,Male,0,No,1,62.38,60.32,Month-to-month,Credit card,0
10058,710903-1387691,user_57@example.com,Male,0,Yes,4,46.24,292.92,One year,Bank transfer,0
10059,921214-1236527,user_58@example.com,Male,0,No,0,74.46,,Month-to-month,Bank transfer,1
10060,860809-3667061,user_59@example.com,Male,0,No,7,53.29,354.01,Month-to-month,Electronic check,1
10061,830306-3513460,user_60@example.com,Female,1,Yes,9,112.02,976.66,One year,Bank transfer,0
10062,880813-1330624,user_61@example.com,Male,0,Yes,6,111.0,747.85,Month-to-month,Credit card,1
10063,810919-2515362,user_62@example.com,Male,0,Yes,35,68.86,2371.09,Two year,Bank transfer,0
10064,761211-4211873,user_63@example.com,Male,0,Yes,8,51.37,447.72,Two year,Bank transfer,0
10065,830727-1376104,user_64@example.com,Male,0,No,6,92.4,526.44,Month-to-month,Mailed check,0
10066,760101-2557272,user_65@example.com,Female,0,Yes,15,22.18,309.68,Month-to-month,Bank transfer,1
10067,700313-1218416,user_66@example.com,Female,0,No,3,66.1,249.81,Month-to-month,Bank transfer,0
10068,790420-3535467,user_67@example.com,Female,1,No,32,52.22,1652.04,Month-to-month,Bank transfer,0
10069,950416-3168998,user_68@example.com,Female,0,Yes,1,110.78,90.54,Month-to-month,Credit card,1
10070,700201-2106227,user_69@example.com,Female,0,Yes,72,19.7,1475.04,Two year,Electronic check,0
10071,741115-2272993,user_70@example.com,Female,0,No,29,73.92,2223.55,Month-to-month,Mailed check,0
10072,800304-2580245,user_71@example.com,Female,0,No,4,92.75,403.23,Month-to-month,Mailed check,1
10073,911202-2835208,user_72@example.com,Female,0,No,0,67.12,,Month-to-month,Bank transfer,1
10074,810218-4493423,user_73@example.com,Male,0,No,33,27.06,867.45,Month-to-month,Bank transfer,1
10075,880916-2853178,user_74@example.com,Male,0,No,24,115.99,2787.76,One year,Electronic check,0
10076,841222-4628777,user_75@example.com,Male,0,Yes,26,70.43,1847.23,Month-to-month,Bank transfer,0
10077,900727-3948035,user_76@example.com,Female,0,No,29,80.07,,Month-to-month,Credit card,0
10078,791019-3838239,user_77@example.com,Female,0,No,1,42.22,78.37,Month-to-month,Electronic check,0
10079,831017-2670940,user_78@example.com,Male,0,No,8,66.97,540.04,Two year,Bank transfer,0
10080,961111-2872225,user_79@example.com,Male,0,Yes,2,61.52,37.25,Month-to-month,Electronic check,1
10081,800819-1969071,user_80@example.com,Male,0,No,39,26.01,967.94,Two year,Mailed check,0
10082,730617-3135646,user_81@example.com,Female,1,Yes,19,29.14,528.45,Month-to-month,Bank transfer,0
10083,951003-4348180,user_82@example.com,Female,0,No,8,102.46,816.04,Two year,Electronic check,0
10084,820120-1477235,user_83@example.com,Female,0,Yes,1,42.54,137.0,One year,Electronic check,0
10085,791023-4144807,user_84@example.com,Female,0,Yes,7,38.04,,Month-to-month,Bank transfer,1
10086,720510-3245719,user_85@example.com,Female,0,Yes,7,69.12,441.8,Two year,Electronic check,0
10087,760910-3479697,user_86@example.com,Male,0,No,26,95.57,,One year,Bank transfer,0
10088,891214-4578727,user_87@example.com,Female,0,No,20,24.71,476.6,Month-to-month,Bank transfer,1
10089,940705-1544782,user_88@example.com,Female,0,Yes,43,76.32,3298.0,Month-to-month,Credit card,0
10090,781222-2242570,user_89@example.com,Female,1,Yes,12,30.45,394.43,One year,Credit card,0
10091,791018-2945632,user_90@example.com,Female,0,No,2,22.16,104.78,One year,Electronic check,1
10092,970426-3911420,user_91@example.com,Male,0,Yes,24,23.79,569.75,One year,Electronic check,1
10093,711011-1352385,user_92@example.com,Female,0,Yes,28,102.12,,One year,Electronic check,0
10094,960901-2802966,user_93@example.com,Male,0,Yes,16,30.33,530.68,One year,Mailed check,0
